"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/24/2018 20:56:44:443 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"false","10","false","false","0","41","false","false","true","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","279","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","254","0","true",,,,,,,,,,,,
"2","2","0","true",,,,,,,,,,,,
"3","253","0","true",,,,,,,,,,,,
"4","1","0","true",,,,,,,,,,,,
"5","254","0","true",,,,,,,,,,,,
"6","2","0","true",,,,,,,,,,,,
"7","253","0","true",,,,,,,,,,,,
"8","1","0","true",,,,,,,,,,,,
"9","254","0","true",,,,,,,,,,,,
"10","2","0","true",,,,,,,,,,,,
"11","253","0","true",,,,,,,,,,,,
"12","1","0","true",,,,,,,,,,,,
"13","254","0","true",,,,,,,,,,,,
"14","2","0","true",,,,,,,,,,,,
"15","253","0","true",,,,,,,,,,,,
"16","1","0","true",,,,,,,,,,,,
"17","254","0","true",,,,,,,,,,,,
"18","2","0","true",,,,,,,,,,,,
"19","253","0","true",,,,,,,,,,,,
"20","1","0","true",,,,,,,,,,,,
"21","254","0","true",,,,,,,,,,,,
"22","2","0","true",,,,,,,,,,,,
"23","253","0","true",,,,,,,,,,,,
"24","1","0","true",,,,,,,,,,,,
"25","254","0","true",,,,,,,,,,,,
"26","2","0","true",,,,,,,,,,,,
"27","253","0","true",,,,,,,,,,,,
"28","1","0","true",,,,,,,,,,,,
"29","254","0","true",,,,,,,,,,,,
"30","2","0","true",,,,,,,,,,,,
"31","253","0","true",,,,,,,,,,,,
"32","1","0","true",,,,,,,,,,,,
"33","254","0","true",,,,,,,,,,,,
"34","2","0","true",,,,,,,,,,,,
"35","253","0","true",,,,,,,,,,,,
"36","1","0","true",,,,,,,,,,,,
"37","254","0","true",,,,,,,,,,,,
"38","2","0","true",,,,,,,,,,,,
"39","253","0","true",,,,,,,,,,,,
