"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/24/2018 20:51:21:586 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"false","10","true","true","0","26","false","false","false","false","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","141","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","2","0","true",,,,,,,,,,,,
"2","2","0","true",,,,,,,,,,,,
"3","4","0","true",,,,,,,,,,,,
"4","2","0","true",,,,,,,,,,,,
"5","4","0","true",,,,,,,,,,,,
"6","4","0","true",,,,,,,,,,,,
"7","8","0","true",,,,,,,,,,,,
"8","2","0","true",,,,,,,,,,,,
"9","4","0","true",,,,,,,,,,,,
"10","4","0","true",,,,,,,,,,,,
"11","8","0","true",,,,,,,,,,,,
"12","4","0","true",,,,,,,,,,,,
"13","8","0","true",,,,,,,,,,,,
"14","8","0","true",,,,,,,,,,,,
"15","16","0","true",,,,,,,,,,,,
"16","2","0","true",,,,,,,,,,,,
"17","4","0","true",,,,,,,,,,,,
"18","4","0","true",,,,,,,,,,,,
"19","8","0","true",,,,,,,,,,,,
"20","4","0","true",,,,,,,,,,,,
"21","8","0","true",,,,,,,,,,,,
"22","8","0","true",,,,,,,,,,,,
"23","16","0","true",,,,,,,,,,,,
"24","4","0","true",,,,,,,,,,,,
"25","8","0","true",,,,,,,,,,,,
"26","8","0","true",,,,,,,,,,,,
"27","16","0","true",,,,,,,,,,,,
"28","8","0","true",,,,,,,,,,,,
"29","16","0","true",,,,,,,,,,,,
"30","16","0","true",,,,,,,,,,,,
